time_s,injected_signal,noisy_strain
0.31250000,-0.009929890,-0.066525234
0.31640625,-0.022647565,-0.078022300
0.32031250,-0.028877027,0.108870190
0.32421875,-0.026702323,-0.317530577
0.32812500,-0.016644928,0.092388337
0.33203125,-0.001568197,-0.073039108
0.33593750,0.014116822,0.011835591
0.33984375,0.025731214,-0.043833663
0.34375000,0.029726528,-0.061788631
0.34765625,0.024783990,-0.106144446
0.35156250,0.012270715,0.072036736
0.35546875,-0.004109113,0.399745211
0.35937500,-0.019390196,0.171528933
0.36328125,-0.028844132,0.121695464
0.36718750,-0.029450916,0.061625462
0.37109375,-0.020884671,-0.139923716
0.37500000,-0.005686839,0.095651337
0.37890625,0.011458158,0.411133576
0.38281250,0.025149327,-0.256068401
0.38671875,0.030970103,0.178923692
0.39062500,0.026929777,0.212869522
0.39453125,0.014171109,0.051914148
0.39843750,-0.003313566,0.137596732
0.40234375,-0.019904091,0.243744411
0.40625000,-0.030148757,0.401200957
0.41015625,-0.030565916,0.216921935
0.41406250,-0.020853931,0.298436561
0.41796875,-0.004082215,0.047197577
0.42187500,0.014241915,0.166587844
0.42578125,0.027961467,0.048321645
0.42968750,0.032341035,0.077670255
0.43359375,0.025725380,-0.082068654
0.43750000,0.010198355,0.134241202
0.44140625,-0.009027282,0.271498761
0.44531250,-0.025330111,-0.070034015
0.44921875,-0.032955083,0.006175103
0.45312500,-0.029065733,0.085317446
0.45703125,-0.014836864,-0.022032128
0.46093750,0.004842965,0.183810595
0.46484375,0.023012258,0.064517234
0.46875000,0.033086328,-0.213697145
0.47265625,0.031260944,-0.186968795
0.47656250,0.017988839,0.155466657
0.48046875,-0.002055051,0.116283748
0.48437500,-0.021573387,0.192595729
0.48828125,-0.033284152,0.008702750
0.49218750,-0.032652676,0.000229581
0.49609375,-0.019690273,-0.346291313
0.50000000,0.000906223,0.275026666
0.50390625,0.021402217,-0.172490160
0.50781250,0.033906587,0.236881763
0.51171875,0.033425175,-0.204392242
0.51562500,0.019902457,-0.121000309
0.51953125,-0.001597307,0.022739245
0.52343750,-0.022726680,-0.115413506
0.52734375,-0.035071089,-0.182816580
0.53125000,-0.033518707,0.141158345
0.53515625,-0.018430937,0.111948100
0.53906250,0.004324657,0.078088648
0.54296875,0.025592562,-0.048391404
0.54687500,0.036590522,-0.135439513
0.55078125,0.032562935,-0.069110722
0.55468750,0.014899964,-0.096076166
0.55859375,-0.009241729,-0.019593273
0.56250000,-0.029774986,0.120183182
0.56640625,-0.037882710,-0.076655519
0.57031250,-0.029844435,-0.193858523
0.57421875,-0.008816113,-0.137827128
0.57812500,0.016310579,0.270223484
0.58203125,0.034610247,0.063503871
0.58593750,0.037876207,0.081277822
0.58984375,0.024360576,0.077207925
0.59375000,-0.000222586,0.115723618
0.59765625,-0.025017262,-0.000202353
0.60156250,-0.038777224,0.195219954
0.60546875,-0.034994563,0.125910837
0.60937500,-0.015060003,-0.587165201
0.61328125,0.012108951,-0.017606546
0.61718750,0.033972755,0.624929858
0.62109375,0.040143750,-0.219429267
0.62500000,0.027383602,0.051223896
0.62890625,0.001398261,0.217016014
0.63281250,-0.025592866,-0.026905251
0.63671875,-0.040546420,0.226975402
0.64062500,-0.035928625,-0.291067271
0.64453125,-0.013610500,-0.266082934
0.64843750,0.015727309,-0.023046398
0.65234375,0.037609039,-0.111452294
0.65625000,0.040899814,-0.175507247
0.66015625,0.023556944,0.137240209
0.66406250,-0.006007177,0.047741594
0.66796875,-0.032873152,-0.031243259
0.67187500,-0.043099456,-0.124664649
0.67578125,-0.031020672,0.021662432
0.67968750,-0.002515642,-0.026875887
0.68359375,0.027689430,-0.118777920
0.68750000,0.043549438,0.146142255
0.69140625,0.036263556,0.110578350
0.69531250,0.009292351,0.025509421
0.69921875,-0.023087924,0.115991020
0.70312500,-0.043231301,-0.264831699
0.70703125,-0.039756281,-0.068793182
0.71093750,-0.014109899,-0.119145580
0.71484375,0.019783002,0.286412705
0.71875000,0.042943011,0.144735986
0.72265625,0.041964466,0.465373657
0.72656250,0.016909390,0.331427648
0.73046875,-0.018242537,-0.092464024
0.73437500,-0.043235183,-0.262184472
0.73828125,-0.043198009,0.053624990
0.74218750,-0.017634442,-0.074263730
0.74609375,0.018762353,-0.012870436
0.75000000,0.044380245,-0.168010652
0.75390625,0.043509743,0.163743740
0.75781250,0.016131644,0.053304786
0.76171875,-0.021502473,0.059099084
0.76562500,-0.046334991,0.015708342
0.76953125,-0.042629091,-0.223267812
0.77343750,-0.012118866,-0.459970856
0.77734375,0.026453952,-0.027864936
0.78125000,0.048673713,-0.078418472
0.78515625,0.039932465,-0.065895592
0.78906250,0.005243543,0.197202446
0.79296875,-0.033315866,-0.053262650
0.79687500,-0.050495789,0.251454580
0.80078125,-0.034481014,0.001844258
0.80468750,0.004735940,0.142276193
0.80859375,0.041281248,0.142752401
0.81250000,0.050352867,0.211460142
0.81640625,0.025191652,-0.226529134
0.82031250,-0.017613286,0.200485456
0.82421875,-0.048774490,-0.027159317
0.82812500,-0.046299497,-0.241605678
0.83203125,-0.011232807,0.111554522
0.83593750,0.032247889,0.101392690
0.83984375,0.053266549,0.310758984
0.84375000,0.036234741,0.182567484
0.84765625,-0.007284959,0.065878545
0.85156250,-0.046045435,-0.372565026
0.85546875,-0.051415446,0.283827650
0.85937500,-0.018723080,0.278653468
0.86328125,0.028381966,0.183564978
0.86718750,0.054722000,0.146981639
0.87109375,0.039881885,0.283387880
0.87500000,-0.005638557,-0.179121307
0.87890625,-0.047399446,0.092877939
0.88281250,-0.052904581,-0.048393894
0.88671875,-0.017103706,-0.217571727
0.89062500,0.032633429,0.106167609
0.89453125,0.057093431,0.127665906
0.89843750,0.036186162,0.377012806
0.90234375,-0.014159295,0.174638496
0.90625000,-0.053643938,-0.374253526
0.91015625,-0.049725256,-0.442229289
0.91406250,-0.004750133,-0.020511010
0.91796875,0.044741973,0.002910808
0.92187500,0.057401471,-0.129851788
0.92578125,0.021798956,-0.269849744
0.92968750,-0.032781059,-0.071666952
0.93359375,-0.059975537,-0.291518743
0.93750000,-0.035761208,-0.174054074
0.94140625,0.019847894,0.192277653
0.94531250,0.058768716,0.106477758
0.94921875,0.046309391,-0.104637287
0.95312500,-0.007485538,-0.232282564
0.95703125,-0.055245661,-0.092740164
0.96093750,-0.053731840,0.292998473
0.96484375,-0.003331238,-0.104782289
0.96875000,0.050748098,0.396921574
0.97265625,0.058647437,-0.098825581
0.97656250,0.012094565,-0.029952973
0.98046875,-0.046367738,0.092594275
0.98437500,-0.061774030,-0.216386925
0.98828125,-0.018610352,-0.007701711
0.99218750,0.042918695,-0.228021065
0.99609375,0.063765642,0.196173086
1.00000000,0.022843781,0.254421398
1.00390625,-0.040964018,-0.170978411
1.00781250,-0.065108928,-0.027961007
1.01171875,-0.024791062,-0.106580076
1.01562500,0.040857168,-0.390814968
1.01953125,0.066059410,0.614999163
1.02343750,0.024389952,0.150129021
1.02734375,-0.042769201,0.122528443
1.03125000,-0.066598900,0.010918426
1.03515625,-0.021475113,0.013138678
1.03906250,0.046682047,0.520733680
1.04296875,0.066403449,-0.298927465
1.04687500,0.015785163,-0.046893181
1.05078125,-0.052337176,-0.136455876
1.05468750,-0.064824100,-0.106546173
1.05859375,-0.007033021,0.132054114
1.06250000,0.059139525,-0.085309441
1.06640625,0.060899596,-0.204740130
1.07031250,-0.004944985,-0.230868186
1.07421875,-0.066033049,0.025316946
1.07812500,-0.053439229,0.136760964
1.08203125,0.019949601,0.181509771
1.08593750,0.071390620,0.390732896
1.08984375,0.041230147,-0.062666400
1.09375000,-0.037098105,0.161335289
1.09765625,-0.072998334,0.063971481
1.10156250,-0.023424988,-0.056728248
1.10546875,0.054480393,-0.096130652
1.10937500,0.068254472,0.243847835
1.11328125,0.000132805,-0.136254092
1.11718750,-0.068929349,-0.127880036
1.12109375,-0.054722380,-0.249524638
1.12500000,0.026855993,0.376207579
1.12890625,0.076140752,0.065454239
1.13281250,0.031129140,-0.069022337
1.13671875,-0.053446584,-0.103246214
1.14062500,-0.071442135,-0.116991303
1.14453125,0.001271031,0.018914638
1.14843750,0.073169464,-0.268448256
1.15234375,0.051440409,-0.181238264
1.15625000,-0.037386004,0.063775954
1.16015625,-0.078266902,0.138210013
1.16406250,-0.016443535,-0.218981551
1.16796875,0.067886691,0.090300779
1.17187500,0.062411067,-0.053117890
1.17578125,-0.027122396,-0.482539401
1.17968750,-0.080876741,-0.143449785
1.18359375,-0.024844971,-0.242222529
1.18750000,0.065936832,0.240081047
1.19140625,0.066465376,0.024051806
1.19531250,-0.025604347,-0.033684832
1.19921875,-0.082744955,-0.375804345
1.20312500,-0.023617276,0.004877450
1.20703125,0.069732429,-0.320230497
1.21093750,0.064218988,0.107818205
1.21484375,-0.033945096,0.241316992
1.21875000,-0.083871243,-0.326761289
1.22265625,-0.011741038,0.158455005
1.22656250,0.078424397,0.359411559
1.23046875,0.053349523,0.012879996
1.23437500,-0.051559048,0.171390247
1.23828125,-0.080137942,-0.063851299
1.24218750,0.012133145,-0.086963435
1.24609375,0.086891913,-0.315572478
1.25000000,0.029292756,-0.186878624
1.25390625,-0.074076896,-0.371945816
1.25781250,-0.063486130,0.412800049
1.26171875,0.046441723,0.097926129
1.26562500,0.084412705,0.049266821
1.26953125,-0.010928489,-0.281792495
1.27343750,-0.089805457,0.254482361
1.27734375,-0.025349980,-0.258307620
1.28125000,0.080699288,0.377615891
1.28515625,0.056585128,0.273614097
1.28906250,-0.060378586,-0.046152149
1.29296875,-0.079030797,-0.211706758
1.29687500,0.033174380,0.023570082
1.30078125,0.091113278,-0.174410477
1.30468750,-0.003426197,0.126372788
1.30859375,-0.093090586,0.243956614
1.31250000,-0.025230418,0.153090971
1.31640625,0.086487421,0.296268852
1.32031250,0.050222355,-0.089964023
1.32421875,-0.073495848,-0.012201185
1.32812500,-0.070101201,-0.275420169
1.33203125,0.056466302,-0.034064747
1.33593750,0.084405412,0.230016231
1.33984375,-0.037547253,0.463619026
1.34375000,-0.093420263,-0.079425300
1.34765625,0.018480552,0.025372126
1.35156250,0.097913983,-0.281558951
1.35546875,-0.000528094,0.034325031
1.35937500,-0.098901361,-0.281385898
1.36328125,-0.015507818,-0.296775204
1.36718750,0.097460490,-0.200985375
1.37109375,0.029208534,0.057419116
1.37500000,-0.094608644,-0.174748456
1.37890625,-0.040438880,0.095282905
1.38281250,0.091230956,0.043983068
1.38671875,0.049244761,0.048383540
1.39062500,-0.088049381,0.205649396
1.39453125,-0.055761579,0.105241018
1.39843750,0.085617898,0.239282631
1.40234375,0.060139569,0.355728089
1.40625000,-0.084330973,-0.040688965
1.41015625,-0.062487577,-0.261390746
1.41406250,0.084434752,-0.075365155
1.41796875,0.062834656,-0.250757122
1.42187500,-0.086033178,-0.015334728
1.42578125,-0.061108531,-0.142298384
1.42968750,0.089084007,0.191475704
1.43359375,0.057131020,0.224384503
1.43750000,-0.093382412,-0.256442237
1.44140625,-0.050632354,-0.013814682
1.44531250,0.098532877,0.353352340
1.44921875,0.041288376,0.057963709
1.45312500,-0.103913750,0.083059738
1.45703125,-0.028786127,-0.068225271
1.46093750,0.108643637,-0.082113271
1.46484375,0.012923266,-0.033506982
1.46875000,-0.111564738,-0.490107487
1.47265625,0.006256048,0.148479295
1.47656250,0.111264856,0.007375913
1.48046875,-0.028293421,0.241853731
1.48437500,-0.106165574,-0.353620508
1.48828125,0.052134168,0.077430515
1.49218750,0.094705939,0.163410179
1.49609375,-0.075967569,-0.116772312
1.50000000,-0.075644466,0.001082271
1.50390625,0.097149572,-0.054919229
1.50781250,0.048481506,-0.167710784
1.51171875,-0.112290324,-0.395785263
1.51562500,-0.013964004,-0.127933618
1.51953125,0.117598972,-0.046549252
1.52343750,-0.025425959,0.022240498
1.52734375,-0.109559546,-0.183939780
1.53125000,0.065170862,-0.068155785
1.53515625,0.085945438,-0.062093390
1.53906250,-0.098841363,-0.481935580
1.54296875,-0.047052522,-0.121294782
1.54687500,0.118892954,0.202306943
1.55078125,-0.003151740,-0.272097658
1.55468750,-0.118293866,-0.170271283
1.55859375,0.056460399,0.192514940
1.56250000,0.092898548,-0.047315833
1.56640625,-0.101050225,-0.062728095
1.57031250,-0.044077757,-0.130538690
1.57421875,0.123799630,0.619446048
1.57812500,-0.019361149,0.262454670
1.58203125,-0.114345077,0.124717939
1.58593750,0.081266507,-0.056937760
1.58984375,0.070070932,0.201143625
1.59375000,-0.121417031,-0.154859179
1.59765625,-0.000180731,0.072792767
1.60156250,0.122228012,0.005826080
1.60546875,-0.073740527,-0.041802367
1.60937500,-0.077371672,-0.232663304
1.61328125,0.122942596,0.182170574
1.61718750,-0.001312593,0.354670870
1.62109375,-0.122751896,-0.400413153
1.62500000,0.083475857,-0.183497703
1.62890625,0.066458439,0.168305716
1.63281250,-0.130107725,0.030539119
1.63671875,0.025310889,-0.050725358
1.64062500,0.112525547,0.232020445
1.64453125,-0.108003801,-0.021695815
1.64843750,-0.032444004,0.079265085
1.65234375,0.133171992,0.412983351
1.65625000,-0.070258019,-0.201940381
1.66015625,-0.078633080,0.055069740
1.66406250,0.133339731,0.174085053
1.66796875,-0.029134107,-0.169059972
1.67187500,-0.109940120,-0.008132863
1.67578125,0.121233520,-0.142975514
1.67968750,0.007446436,-0.294277631
1.68359375,-0.128169241,0.090293581
1.68750000,0.104659846,-0.120295591
1.69140625,0.035789807,0.379411532
1.69531250,-0.137304953,0.073921289
1.69921875,0.089447947,-0.016633865
1.70312500,0.055017518,-0.124519845
1.70703125,-0.141418941,-0.594739632
1.71093750,0.079296751,0.063711845
1.71484375,0.065496481,-0.267645479
1.71875000,-0.143527378,0.175614487
1.72265625,0.076235511,-0.266581718
1.72656250,0.067643930,0.079993604
1.73046875,-0.145082312,-0.701112989
1.73437500,0.081096788,0.008946991
1.73828125,0.061249350,0.330927416
1.74218750,-0.145745981,-0.237264147
1.74609375,0.093657818,-0.074455587
1.75000000,0.045327818,-0.052710282
1.75390625,-0.143258974,-0.067388083
1.75781250,0.112305941,0.292712613
1.76171875,0.018562590,-0.030532528
1.76562500,-0.133464777,-0.552251749
1.76953125,0.133269460,0.195198342
1.77343750,-0.019526163,0.178273347
1.77734375,-0.110844793,0.357915006
1.78125000,0.149736587,0.183020517
1.78515625,-0.066607911,-0.032452853
1.78906250,-0.070163745,-0.181813427
1.79296875,0.151642498,0.303741915
1.79687500,-0.115097028,0.245104511
1.80078125,-0.009787991,-0.214810649
1.80468750,0.127436380,0.142981262
1.80859375,-0.150502861,-0.364126729
1.81250000,0.063520770,-0.078245425
1.81640625,0.069243523,0.030282158
1.82031250,-0.153098354,-0.053472648
1.82421875,0.130438730,-0.041627444
1.82812500,-0.018494516,-0.080067317
1.83203125,-0.105933862,0.172373193
1.83593750,0.160342444,0.262354409
1.83984375,-0.110572861,0.030913375
1.84375000,-0.009775663,0.070164824
1.84765625,0.123974168,0.083984675
1.85156250,-0.161815089,-0.077064532
1.85546875,0.101843200,0.207221439
1.85937500,0.018502475,0.017216231
1.86328125,-0.127987852,0.080893390
1.86718750,0.164296358,0.164093487
1.87109375,-0.108565230,0.074650242
1.87500000,-0.006704092,-0.003427870
1.87890625,0.118206247,0.266373460
1.88281250,-0.167197086,-0.306330998
1.88671875,0.129721538,0.013726645
1.89062500,-0.026677526,-0.264976666
1.89453125,-0.089371408,0.155642313
1.89843750,0.161823826,0.265096257
1.90234375,-0.157318059,-0.115156953
1.90625000,0.079806765,0.205295120
1.91015625,0.033710340,-0.137143244
1.91406250,-0.131933340,-0.112716993
1.91796875,0.172643543,0.067624597
1.92187500,-0.140096179,-0.522516303
1.92578125,0.049723111,-0.005905310
1.92968750,0.060382325,-0.119287617
1.93359375,-0.146259261,0.144707679
1.93750000,0.175570904,0.021489906
1.94140625,-0.138970980,-0.267052315
1.94531250,0.051795206,0.251382898
1.94921875,0.053378141,0.050056153
1.95312500,-0.139517657,-0.413783186
1.95703125,0.178146938,0.223720422
1.96093750,-0.158114564,-0.313603916
1.96484375,0.087758670,0.435979424
1.96875000,0.009374004,-0.208499860
1.97265625,-0.103054331,-0.256252402
1.97656250,0.165958062,-0.396428573
1.98046875,-0.181308647,-0.320392598
1.98437500,0.146626589,0.529109468
1.98828125,-0.073075612,-0.099721895
1.99218750,-0.018783802,-0.216491713
1.99609375,0.105176925,0.163187718
